"","title","ratingsCount","numPages","avgRating","year_publication"
"262","Shiver",467746,392,3.76,2009
"263","The House of the Spirits",238807,448,4.27,1982
"264","The Guernsey Literary and Potato Peel Pie Society",710744,291,4.18,2008
"265","The Shack",613050,294,3.81,2007
"266","The Sound and the Fury",173502,366,3.86,1929
"267","For Whom the Bell Tolls",277718,471,3.98,1940
"268","Fear and Loathing in Las Vegas",331323,204,4.07,1971
"269","Marked",473765,306,3.81,2007
"270","The Complete Calvin and Hobbes",38748,1456,4.8,2005
"271","Stranger in a Strange Land",301105,525,3.92,1961
"272","Roots: The Saga of an American Family",156363,888,4.44,1976
"273","Speak",558408,224,4.04,1999
"274","Norwegian Wood",516412,296,4.03,1987
"275","Island of the Blue Dolphins",320124,194,3.86,1960
"276","Paper Towns",1238439,305,3.73,2008
"277","Othello",364518,314,3.89,1603
"278","The Girl Who Kicked the Hornet's Nest",706420,566,4.23,2007
"279","Blood River: A Journey to Africa's Broken Heart",11077,363,3.97,2007
"280","The Idiot",163470,667,4.2,1869
"281","Inkheart",406671,563,3.91,2003
"282","Into the Wild",1027475,203,4,1996
"283","Beautiful Disaster",640159,319,4.04,2011
"284","Kafka on the Shore",413999,467,4.14,2002
"285","King Lear",205730,338,3.91,1605
"286","Delirium",454379,441,3.96,2011
"287","White Oleander",343326,446,3.98,1999
"288","Neverwhere",495006,370,4.17,1996
"289","The Complete Sherlock Holmes",192440,1796,4.5,1894
"290","Mockingjay",2890192,398,4.07,2010
"291","Uncle Tom's Cabin",217235,438,3.9,1852
"292","The Vampire Lestat",191364,481,4.09,1985
"293","Invisible Man",177459,581,3.9,1952
"294","Different Seasons",194987,560,4.35,1982
"295","The Lord of the Rings",637967,1216,4.52,1955
"296","I Know This Much Is True",304916,897,4.2,1998
"297","The Once and Future King",105335,639,4.07,1958
"298","Flow Down Like Silver: Hypatia of Alexandria",4584,301,3.98,2009
"299","All Creatures Great and Small",138113,437,4.33,1972
"300","The Historian",257775,704,3.79,2005
"301","The Things They Carried",290672,246,4.14,1990
"302","Candide",259506,129,3.76,1759
"303","Paradise Lost",155689,453,3.83,1667
"304","Lamb: The Gospel According to Biff, Christ's Childhood Pal",167726,444,4.23,2002
"305","Foundation",498432,244,4.17,1951
"306","The Complete Works",54825,1248,4.47,1623
"307","The Thirteenth Tale",302513,406,3.97,2006
"308","James and the Giant Peach",445483,146,4.02,1961
"309","Never Let Me Go",612776,288,3.84,2005
"310","Heidi",190618,352,4.01,1880
"311","The Time Machine",485382,118,3.9,1895
"312","Leaves of Grass",97232,624,4.11,1855
"313","The Seven Husbands of Evelyn Hugo",1904291,389,4.46,2017
"314","The Way of Kings",413825,1007,4.65,2010
"315","Graceling",438716,471,4.07,2008
"316","City of Lost Souls",501136,535,4.23,2012
"317","Ready Player One",1070437,374,4.24,2011
"318","The Wise Man's Fear",511415,994,4.55,2011
"319","The Cider House Rules",177096,973,4.15,1985
"320","The Son of Neptune",524741,521,4.42,2011
"321","Are You There God? It's Me, Margaret",204639,149,3.92,1970
"322","Wonder",998926,315,4.38,2012
"323","The Mark of Athena",541658,586,4.47,2012
"324","Walden",179288,352,3.78,1854
"325","Fangirl",709557,483,3.97,2013
"326","Sophie's World",242721,403,3.96,1991
"327","Me Before You",1485520,369,4.26,2012
"328","Crooked Kingdom",510903,561,4.61,2016
"329","The Awakening",194334,195,3.67,1899
"330","Mrs. Dalloway",274102,194,3.79,1925
"331","The Final Empire",564335,541,4.47,2006
"332","Fried Green Tomatoes at the Whistle Stop Cafe",293229,416,4.28,1987
"333","'Salem's Lot",410322,483,4.05,1975
"334","Legend",496594,305,4.16,2011
"335","Sophie's Choice",87996,562,4.18,1979
"336","East of Eden",496623,601,4.4,1952
"337","The Prince of Tides",203620,679,4.25,1986
"338","Middlemarch",152874,904,4,1872
"339","The Hound of the Baskervilles",318221,256,4.13,1901
"340","Fifty Shades Darker",852824,532,3.83,2011
"341","Dead Until Dark",525006,292,3.96,2001
"342","Things Fall Apart",342738,209,3.72,1958
"343","Stardust",420321,248,4.1,1998
"344","Do Androids Dream of Electric Sheep?",413419,258,4.09,1968
"345","The Monster at the End of this Book",123395,32,4.45,1971
"346","The Martian",1019051,384,4.41,2011
"347","Eleanor & Park",1096161,328,3.96,2012
"348","The Magician's Nephew",498258,221,4.05,1955
"349","Hamlet",877844,289,4.03,1601
"350","A Time to Kill",778579,738,4.1,1989
"351","Bridget Jones's Diary",947116,271,3.8,1996
"352","Franny and Zooey",208830,201,3.97,1957
"353","Shatter Me",602273,338,3.9,2011
"354","Black Beauty",265571,245,3.98,1877
"355","V for Vendetta",297594,296,4.26,1990
"356","The Complete Maus",194176,296,4.56,1980
"357","Number the Stars",529799,137,4.18,1989
"358","The Power of One",85542,544,4.34,1989
"359","A Short History of Nearly Everything",361643,544,4.21,2003
"360","The Art of Racing in the Rain",495743,336,4.22,2008
"361","If I Stay",847638,201,3.93,2009
"362","The Graveyard Book",505725,312,4.15,2008
"363","A Court of Thorns and Roses",1338716,432,4.2,2015
"364","The Witches",373541,208,4.17,1983
"365","The Gunslinger",574535,231,3.93,1982
"366","Allegiant",982278,531,3.61,2013
"367","Love You Forever",227880,32,4.37,1986
"368","White Fang",177979,252,4.01,1906
"369","The Complete Novels",32101,1344,4.57,1813
"370","All the Light We Cannot See",1409959,531,4.32,2014
"371","Gulliver's Travels: Travels into Several Remote Nations of the World.",260938,306,3.58,1726
"372","American Psycho",282177,399,3.82,1991
"373","Beowulf",284723,245,3.47,900
"374","A Portrait of the Artist as a Young Man",143389,329,3.63,1916
"375","Bel Canto",267557,318,3.93,2001
"376","Fifty Shades Freed",808810,579,3.84,2012
"377","The Qur'an",64826,604,4.38,632
"378","Tuck Everlasting",260124,148,3.89,1975
"379","The Eye of the World",491507,800,4.19,1990
"380","Cold Mountain",236274,449,3.88,1997
"381","Go Ask Alice",262811,213,3.75,1971
"382","The Tell-Tale Heart and Other Writings",235832,448,4.19,1843
"383","As I Lay Dying",156163,288,3.72,1930
"384","Harry Potter Series Box Set",276481,4100,4.74,2007
"385","Dark Lover",323933,393,4.16,2005
"386","A Separate Peace",209630,208,3.59,1959
"387","Beautiful Creatures",581810,563,3.77,2009
"388","Eldest",410719,704,4.01,2005
"389","A Child Called ""It""",415334,184,4.12,1995
"390","The Martian Chronicles",245854,182,4.15,1950
"391","Cloud Atlas",238423,509,4.01,2004
"392","Steppenwolf",167992,256,4.13,1927
"393","Mansfield Park",327561,488,3.86,1814
"394","Tao Te Ching",144122,160,4.3,-350
"395","Notre-Dame de Paris | The Hunchback of Notre-Dame",190706,510,4.01,1831
"396","Aristotle and Dante Discover the Secrets of the Universe",513424,359,4.34,2012
"397","Obsidian",270505,335,4.15,2011
"398","Brisingr",345986,748,4.08,2008
"399","The Amazing Adventures of Kavalier & Clay",196448,639,4.18,2000
"400","Inferno",167274,490,4.02,1321
"401","11/22/63",495173,849,4.32,2011
"402","Robinson Crusoe",286797,320,3.68,1719
